Sexo	Provincias	Edad	Periodo	Total
Hombres	01 Araba/Álava	98 años	2030	61,284859
Hombres	01 Araba/Álava	98 años	2029	58,853841
Hombres	01 Araba/Álava	98 años	2028	50,775246
Hombres	01 Araba/Álava	98 años	2027	49,789874
Hombres	01 Araba/Álava	98 años	2026	39,323391
Hombres	01 Araba/Álava	98 años	2025	33,897345
Hombres	01 Araba/Álava	98 años	2024	26,571965
Hombres	01 Araba/Álava	98 años	2023	27,071980
Hombres	01 Araba/Álava	98 años	2022	23,927777
Hombres	01 Araba/Álava	99 años	2037	57,001764
Hombres	01 Araba/Álava	99 años	2036	64,457533
Hombres	01 Araba/Álava	99 años	2035	59,795710
Hombres	01 Araba/Álava	99 años	2034	57,465237
Hombres	01 Araba/Álava	99 años	2033	57,499511
Hombres	01 Araba/Álava	99 años	2032	52,044493
Hombres	01 Araba/Álava	99 años	2031	46,328541
Hombres	01 Araba/Álava	99 años	2030	44,428008
Hombres	01 Araba/Álava	99 años	2029	38,283842
Hombres	01 Araba/Álava	99 años	2028	37,489288
Hombres	01 Araba/Álava	99 años	2027	29,562710
Hombres	01 Araba/Álava	99 años	2026	25,462566
Hombres	01 Araba/Álava	99 años	2025	19,938271
Hombres	01 Araba/Álava	99 años	2024	20,269012
Hombres	01 Araba/Álava	99 años	2023	17,766300
Hombres	01 Araba/Álava	99 años	2022	16,749564
Hombres	01 Araba/Álava	100 y más años	2037	113,932844
Hombres	01 Araba/Álava	100 y más años	2036	106,248398
Hombres	01 Araba/Álava	100 y más años	2035	99,882260
Hombres	01 Araba/Álava	100 y más años	2034	93,126998
Hombres	01 Araba/Álava	100 y más años	2033	83,381041
Hombres	01 Araba/Álava	100 y más años	2032	74,541576
Hombres	01 Araba/Álava	100 y más años	2031	67,261240
Hombres	01 Araba/Álava	100 y más años	2030	58,470586
Hombres	01 Araba/Álava	100 y más años	2029	51,536722
Hombres	01 Araba/Álava	100 y más años	2028	42,025437
Hombres	01 Araba/Álava	100 y más años	2027	35,576276
Hombres	01 Araba/Álava	100 y más años	2026	29,947033
Hombres	01 Araba/Álava	100 y más años	2025	26,942342
Hombres	01 Araba/Álava	100 y más años	2024	22,135419
Hombres	01 Araba/Álava	100 y más años	2023	17,269870
Hombres	01 Araba/Álava	100 y más años	2022	11,983862
Hombres	48 Bizkaia	Todas las edades	2037	543.196,726231
Hombres	48 Bizkaia	Todas las edades	2036	544.508,501306
Hombres	48 Bizkaia	Todas las edades	2035	545.710,668409
Hombres	48 Bizkaia	Todas las edades	2034	546.739,251377
Hombres	48 Bizkaia	Todas las edades	2033	547.564,168136
Hombres	48 Bizkaia	Todas las edades	2032	548.189,368817
Hombres	48 Bizkaia	Todas las edades	2031	548.608,988684
Hombres	48 Bizkaia	Todas las edades	2030	548.824,993012
Hombres	48 Bizkaia	Todas las edades	2029	548.826,039964
Hombres	48 Bizkaia	Todas las edades	2028	548.629,782366
Hombres	48 Bizkaia	Todas las edades	2027	548.258,620159
Hombres	48 Bizkaia	Todas las edades	2026	547.720,097412
Hombres	48 Bizkaia	Todas las edades	2025	547.041,724738
Hombres	48 Bizkaia	Todas las edades	2024	546.260,042144
Hombres	48 Bizkaia	Todas las edades	2023	545.391,320870
Hombres	48 Bizkaia	Todas las edades	2022	544.756,650653
Hombres	48 Bizkaia	65 años	2037	8.376,767796
Hombres	48 Bizkaia	65 años	2036	8.229,517387
Hombres	48 Bizkaia	65 años	2035	8.197,066718
Hombres	48 Bizkaia	65 años	2034	8.033,537423
Hombres	48 Bizkaia	65 años	2033	8.264,078028
Hombres	48 Bizkaia	65 años	2032	8.088,356328
Hombres	48 Bizkaia	65 años	2031	8.176,563310
Hombres	48 Bizkaia	65 años	2030	8.474,303656
Hombres	48 Bizkaia	65 años	2029	8.057,538046
Hombres	48 Bizkaia	65 años	2028	7.945,000024
Hombres	48 Bizkaia	65 años	2027	7.657,924061
Hombres	48 Bizkaia	65 años	2026	7.888,847037
Hombres	48 Bizkaia	65 años	2025	7.996,188938
Hombres	48 Bizkaia	65 años	2024	7.616,388977
Hombres	48 Bizkaia	65 años	2023	7.690,652679
Hombres	48 Bizkaia	65 años	2022	7.159,759118
Hombres	48 Bizkaia	66 años	2037	8.140,378577
Hombres	48 Bizkaia	66 años	2036	8.107,269516
Hombres	48 Bizkaia	66 años	2035	7.943,620351
Hombres	48 Bizkaia	66 años	2034	8.169,554401
Hombres	48 Bizkaia	66 años	2033	7.995,262009
Hombres	48 Bizkaia	66 años	2032	8.080,188049
Hombres	48 Bizkaia	66 años	2031	8.373,228438
Hombres	48 Bizkaia	66 años	2030	7.959,348083
Hombres	48 Bizkaia	66 años	2029	7.846,453836
Hombres	48 Bizkaia	66 años	2028	7.563,368392
Hombres	48 Bizkaia	66 años	2027	7.788,878482
Hombres	48 Bizkaia	66 años	2026	7.893,766636
Hombres	48 Bizkaia	66 años	2025	7.517,907339
Hombres	48 Bizkaia	66 años	2024	7.590,089427
Hombres	48 Bizkaia	66 años	2023	7.055,986023
Hombres	48 Bizkaia	66 años	2022	6.863,176095
Hombres	48 Bizkaia	67 años	2037	8.012,103858
Hombres	48 Bizkaia	67 años	2036	7.848,513418
Hombres	48 Bizkaia	67 años	2035	8.069,713834
Hombres	48 Bizkaia	67 años	2034	7.896,816459
Hombres	48 Bizkaia	67 años	2033	7.978,457490
Hombres	48 Bizkaia	67 años	2032	8.266,510497
Hombres	48 Bizkaia	67 años	2031	7.855,837538
Hombres	48 Bizkaia	67 años	2030	7.742,596863
Hombres	48 Bizkaia	67 años	2029	7.463,428568
Hombres	48 Bizkaia	67 años	2028	7.683,450210
Hombres	48 Bizkaia	67 años	2027	7.785,616210
Hombres	48 Bizkaia	67 años	2026	7.413,829071
Hombres	48 Bizkaia	67 años	2025	7.483,762712
Hombres	48 Bizkaia	67 años	2024	6.955,415190
Hombres	48 Bizkaia	67 años	2023	6.754,834684
Hombres	48 Bizkaia	67 años	2022	6.484,170365
Hombres	48 Bizkaia	68 años	2037	7.749,184801
Hombres	48 Bizkaia	68 años	2036	7.965,683216
Hombres	48 Bizkaia	68 años	2035	7.794,235612
Hombres	48 Bizkaia	68 años	2034	7.872,666939
Hombres	48 Bizkaia	68 años	2033	8.155,591502
Hombres	48 Bizkaia	68 años	2032	7.748,430863
Hombres	48 Bizkaia	68 años	2031	7.634,945734
Hombres	48 Bizkaia	68 años	2030	7.359,638270
Hombres	48 Bizkaia	68 años	2029	7.574,217320
Hombres	48 Bizkaia	68 años	2028	7.673,536664
Hombres	48 Bizkaia	68 años	2027	7.305,959762
Hombres	48 Bizkaia	68 años	2026	7.373,530572
Hombres	48 Bizkaia	68 años	2025	6.851,210684
Hombres	48 Bizkaia	68 años	2024	6.650,450745
Hombres	48 Bizkaia	68 años	2023	6.374,169255
Hombres	48 Bizkaia	68 años	2022	6.371,572465
Hombres	48 Bizkaia	69 años	2037	7.857,218488
Hombres	48 Bizkaia	69 años	2036	7.687,321552
Hombres	48 Bizkaia	69 años	2035	7.762,627345
Hombres	48 Bizkaia	69 años	2034	8.040,244514
Hombres	48 Bizkaia	69 años	2033	7.636,906943
Hombres	48 Bizkaia	69 años	2032	7.523,260797
Hombres	48 Bizkaia	69 años	2031	7.251,788314
Hombres	48 Bizkaia	69 años	2030	7.460,912948
Hombres	48 Bizkaia	69 años	2029	7.557,239459
Hombres	48 Bizkaia	69 años	2028	7.194,049392
Hombres	48 Bizkaia	69 años	2027	7.259,103842
Hombres	48 Bizkaia	69 años	2026	6.743,076487
Hombres	48 Bizkaia	69 años	2025	6.542,430351
Hombres	48 Bizkaia	69 años	2024	6.269,169387
Hombres	48 Bizkaia	69 años	2023	6.258,694237
Hombres	48 Bizkaia	69 años	2022	6.300,163619
Hombres	48 Bizkaia	70 años	2037	7.576,077025
Hombres	48 Bizkaia	70 años	2036	7.648,381151
Hombres	48 Bizkaia	70 años	2035	7.920,552034
Hombres	48 Bizkaia	70 años	2034	7.521,372366
Hombres	48 Bizkaia	70 años	2033	7.407,670165
Hombres	48 Bizkaia	70 años	2032	7.140,041114
Hombres	48 Bizkaia	70 años	2031	7.343,728867
Hombres	48 Bizkaia	70 años	2030	7.436,925069
Hombres	48 Bizkaia	70 años	2029	7.078,335157
Hombres	48 Bizkaia	70 años	2028	7.140,771263
Hombres	48 Bizkaia	70 años	2027	6.631,349641
Hombres	48 Bizkaia	70 años	2026	6.431,112748
Hombres	48 Bizkaia	70 años	2025	6.160,983842
Hombres	48 Bizkaia	70 años	2024	6.150,517938
Hombres	48 Bizkaia	70 años	2023	6.181,141637
Hombres	48 Bizkaia	70 años	2022	5.723,774444
Hombres	48 Bizkaia	71 años	2037	7.527,731706
Hombres	48 Bizkaia	71 años	2036	7.794,165177
Hombres	48 Bizkaia	71 años	2035	7.399,530518
Hombres	48 Bizkaia	71 años	2034	7.285,796139
Hombres	48 Bizkaia	71 años	2033	7.022,031888
Hombres	48 Bizkaia	71 años	2032	7.220,091448
Hombres	48 Bizkaia	71 años	2031	7.309,889355
Hombres	48 Bizkaia	71 años	2030	6.956,131434
Hombres	48 Bizkaia	71 años	2029	7.015,698773
Hombres	48 Bizkaia	71 años	2028	6.513,317222
Hombres	48 Bizkaia	71 años	2027	6.313,766292
Hombres	48 Bizkaia	71 años	2026	6.046,863106
Hombres	48 Bizkaia	71 años	2025	6.036,100115
Hombres	48 Bizkaia	71 años	2024	6.063,906378
Hombres	48 Bizkaia	71 años	2023	5.609,063741
Hombres	48 Bizkaia	71 años	2022	5.765,525991
Hombres	48 Bizkaia	72 años	2037	7.661,736923
Hombres	48 Bizkaia	72 años	2036	7.272,112080
Hombres	48 Bizkaia	72 años	2035	7.158,470183
Hombres	48 Bizkaia	72 años	2034	6.898,669775
Hombres	48 Bizkaia	72 años	2033	7.091,023283
Hombres	48 Bizkaia	72 años	2032	7.177,280026
Hombres	48 Bizkaia	72 años	2031	6.828,658823
Hombres	48 Bizkaia	72 años	2030	6.885,240439
Hombres	48 Bizkaia	72 años	2029	6.390,367468
Hombres	48 Bizkaia	72 años	2028	6.191,871158
Hombres	48 Bizkaia	72 años	2027	5.928,381747
Hombres	48 Bizkaia	72 años	2026	5.917,122194
Hombres	48 Bizkaia	72 años	2025	5.942,158322
Hombres	48 Bizkaia	72 años	2024	5.495,534796
Hombres	48 Bizkaia	72 años	2023	5.638,672849
Hombres	48 Bizkaia	72 años	2022	5.902,292241
Hombres	48 Bizkaia	73 años	2037	7.138,847140
Hombres	48 Bizkaia	73 años	2036	7.025,477093
Hombres	48 Bizkaia	73 años	2035	6.769,824509
Hombres	48 Bizkaia	73 años	2034	6.956,396465
Hombres	48 Bizkaia	73 años	2033	7.039,019638
Hombres	48 Bizkaia	73 años	2032	6.695,871210
Hombres	48 Bizkaia	73 años	2031	6.749,408577
Hombres	48 Bizkaia	73 años	2030	6.262,533977
Hombres	48 Bizkaia	73 años	2029	6.065,468325
Hombres	48 Bizkaia	73 años	2028	5.805,652047
Hombres	48 Bizkaia	73 años	2027	5.793,753607
Hombres	48 Bizkaia	73 años	2026	5.816,084779
Hombres	48 Bizkaia	73 años	2025	5.377,936852
Hombres	48 Bizkaia	73 años	2024	5.514,595297
Hombres	48 Bizkaia	73 años	2023	5.760,112961
Hombres	48 Bizkaia	73 años	2022	5.866,772710
Hombres	48 Bizkaia	74 años	2037	6.884,265498
Hombres	48 Bizkaia	74 años	2036	6.633,015034
Hombres	48 Bizkaia	74 años	2035	6.813,586452
Hombres	48 Bizkaia	74 años	2034	6.892,392299
Hombres	48 Bizkaia	74 años	2033	6.555,096280
Hombres	48 Bizkaia	74 años	2032	6.605,435283
Hombres	48 Bizkaia	74 años	2031	6.127,151451
Hombres	48 Bizkaia	74 años	2030	5.931,853062
Hombres	48 Bizkaia	74 años	2029	5.676,001356
Hombres	48 Bizkaia	74 años	2028	5.663,286672
Hombres	48 Bizkaia	74 años	2027	5.682,878363
Hombres	48 Bizkaia	74 años	2026	5.253,583247
Hombres	48 Bizkaia	74 años	2025	5.383,678948
Hombres	48 Bizkaia	74 años	2024	5.621,832649
Hombres	48 Bizkaia	74 años	2023	5.716,042905
Hombres	48 Bizkaia	74 años	2022	5.281,470822
Hombres	48 Bizkaia	75 años	2037	6.488,194813
Hombres	48 Bizkaia	75 años	2036	6.662,634277
Hombres	48 Bizkaia	75 años	2035	6.737,545659
Hombres	48 Bizkaia	75 años	2034	6.406,536884
Hombres	48 Bizkaia	75 años	2033	6.453,615722
Hombres	48 Bizkaia	75 años	2032	5.984,542447
Hombres	48 Bizkaia	75 años	2031	5.791,400729
Hombres	48 Bizkaia	75 años	2030	5.539,852466
Hombres	48 Bizkaia	75 años	2029	5.526,246153
Hombres	48 Bizkaia	75 años	2028	5.543,163233
Hombres	48 Bizkaia	75 años	2027	5.123,142803
Hombres	48 Bizkaia	75 años	2026	5.246,688249
Hombres	48 Bizkaia	75 años	2025	5.477,155859
Hombres	48 Bizkaia	75 años	2024	5.567,368433
Hombres	48 Bizkaia	75 años	2023	5.133,833098
Hombres	48 Bizkaia	75 años	2022	5.103,682824
Hombres	48 Bizkaia	76 años	2037	6.502,050302
Hombres	48 Bizkaia	76 años	2036	6.572,993364
Hombres	48 Bizkaia	76 años	2035	6.248,771654
Hombres	48 Bizkaia	76 años	2034	6.292,519614
Hombres	48 Bizkaia	76 años	2033	5.833,356471
Hombres	48 Bizkaia	76 años	2032	5.642,771611
Hombres	48 Bizkaia	76 años	2031	5.395,911836
Hombres	48 Bizkaia	76 años	2030	5.381,340843
Hombres	48 Bizkaia	76 años	2029	5.395,633131
Hombres	48 Bizkaia	76 años	2028	4.985,416454
Hombres	48 Bizkaia	76 años	2027	5.102,377567
Hombres	48 Bizkaia	76 años	2026	5.324,761950
Hombres	48 Bizkaia	76 años	2025	5.410,875978
Hombres	48 Bizkaia	76 años	2024	4.986,945377
Hombres	48 Bizkaia	76 años	2023	4.945,483975
Hombres	48 Bizkaia	76 años	2022	4.807,799774
Hombres	48 Bizkaia	77 años	2037	6.398,661515
Hombres	48 Bizkaia	77 años	2036	6.081,847994
Hombres	48 Bizkaia	77 años	2035	6.122,334499
Hombres	48 Bizkaia	77 años	2034	5.673,869660
Hombres	48 Bizkaia	77 años	2033	5.486,343069
Hombres	48 Bizkaia	77 años	2032	5.244,645688
Hombres	48 Bizkaia	77 años	2031	5.229,191659
Hombres	48 Bizkaia	77 años	2030	5.241,035838
Hombres	48 Bizkaia	77 años	2029	4.841,236174
Hombres	48 Bizkaia	77 años	2028	4.951,740647
Hombres	48 Bizkaia	77 años	2027	5.165,852812
Hombres	48 Bizkaia	77 años	2026	5.247,936939
Hombres	48 Bizkaia	77 años	2025	4.834,356654
Hombres	48 Bizkaia	77 años	2024	4.791,676427
Hombres	48 Bizkaia	77 años	2023	4.645,357870
Hombres	48 Bizkaia	77 años	2022	4.673,984151
Hombres	48 Bizkaia	78 años	2037	5.901,358059
Hombres	48 Bizkaia	78 años	2036	5.938,467048
Hombres	48 Bizkaia	78 años	2035	5.501,638949
Hombres	48 Bizkaia	78 años	2034	5.317,630460
Hombres	48 Bizkaia	78 años	2033	5.081,578727
Hombres	48 Bizkaia	78 años	2032	5.065,168651
Hombres	48 Bizkaia	78 años	2031	5.074,523830
Hombres	48 Bizkaia	78 años	2030	4.685,915173
Hombres	48 Bizkaia	78 años	2029	4.789,785095
Hombres	48 Bizkaia	78 años	2028	4.995,010364
Hombres	48 Bizkaia	78 años	2027	5.072,820449
Hombres	48 Bizkaia	78 años	2026	4.670,553006
Hombres	48 Bizkaia	78 años	2025	4.626,721031
Hombres	48 Bizkaia	78 años	2024	4.484,659497
Hombres	48 Bizkaia	78 años	2023	4.495,716989
Hombres	48 Bizkaia	78 años	2022	4.346,262754
Hombres	48 Bizkaia	79 años	2037	5.736,555707
Hombres	48 Bizkaia	79 años	2036	5.312,493976
Hombres	48 Bizkaia	79 años	2035	5.132,437373
Hombres	48 Bizkaia	79 años	2034	4.902,545049
Hombres	48 Bizkaia	79 años	2033	4.884,950410
Hombres	48 Bizkaia	79 años	2032	4.891,601013
Hombres	48 Bizkaia	79 años	2031	4.515,170155
Hombres	48 Bizkaia	79 años	2030	4.611,880974
Hombres	48 Bizkaia	79 años	2029	4.807,248067
Hombres	48 Bizkaia	79 años	2028	4.880,230980
Hombres	48 Bizkaia	79 años	2027	4.490,446088
Hombres	48 Bizkaia	79 años	2026	4.445,371056
Hombres	48 Bizkaia	79 años	2025	4.307,719018
Hombres	48 Bizkaia	79 años	2024	4.314,772196
Hombres	48 Bizkaia	79 años	2023	4.166,149618
Hombres	48 Bizkaia	79 años	2022	3.656,718854
Hombres	48 Bizkaia	80 años	2037	5.111,032167
Hombres	48 Bizkaia	80 años	2036	4.935,726941
Hombres	48 Bizkaia	80 años	2035	4.712,800479
Hombres	48 Bizkaia	80 años	2034	4.694,337887
Hombres	48 Bizkaia	80 años	2033	4.698,643321
Hombres	48 Bizkaia	80 años	2032	4.335,442915
Hombres	48 Bizkaia	80 años	2031	4.425,242555
Hombres	48 Bizkaia	80 años	2030	4.610,729105
Hombres	48 Bizkaia	80 años	2029	4.679,142255
Hombres	48 Bizkaia	80 años	2028	4.302,988930
Hombres	48 Bizkaia	80 años	2027	4.257,196863
Hombres	48 Bizkaia	80 años	2026	4.124,498484
Hombres	48 Bizkaia	80 años	2025	4.128,124965
Hombres	48 Bizkaia	80 años	2024	3.984,528871
Hombres	48 Bizkaia	80 años	2023	3.489,951243
Hombres	48 Bizkaia	80 años	2022	3.324,366211
Hombres	48 Bizkaia	81 años	2037	4.719,384688
Hombres	48 Bizkaia	81 años	2036	4.504,144998
Hombres	48 Bizkaia	81 años	2035	4.484,705054
Hombres	48 Bizkaia	81 años	2034	4.486,490043
Hombres	48 Bizkaia	81 años	2033	4.137,787792
Hombres	48 Bizkaia	81 años	2032	4.220,157956
Hombres	48 Bizkaia	81 años	2031	4.394,779874
Hombres	48 Bizkaia	81 años	2030	4.458,079356
Hombres	48 Bizkaia	81 años	2029	4.097,000771
Hombres	48 Bizkaia	81 años	2028	4.050,485637
Hombres	48 Bizkaia	81 años	2027	3.923,010716
Hombres	48 Bizkaia	81 años	2026	3.923,043556
Hombres	48 Bizkaia	81 años	2025	3.784,829210
Hombres	48 Bizkaia	81 años	2024	3.312,807919
Hombres	48 Bizkaia	81 años	2023	3.144,753267
Hombres	48 Bizkaia	81 años	2022	3.510,399822
Hombres	48 Bizkaia	82 años	2037	4.282,997337
Hombres	48 Bizkaia	82 años	2036	4.262,753702
Hombres	48 Bizkaia	82 años	2035	4.262,155682
Hombres	48 Bizkaia	82 años	2034	3.928,983309
Hombres	48 Bizkaia	82 años	2033	4.003,897510
Hombres	48 Bizkaia	82 años	2032	4.167,318488
Hombres	48 Bizkaia	82 años	2031	4.225,449095
Hombres	48 Bizkaia	82 años	2030	3.880,570153
Hombres	48 Bizkaia	82 años	2029	3.833,626573
Hombres	48 Bizkaia	82 años	2028	3.711,757540
Hombres	48 Bizkaia	82 años	2027	3.708,447589
Hombres	48 Bizkaia	82 años	2026	3.576,041487
Hombres	48 Bizkaia	82 años	2025	3.127,804357
Hombres	48 Bizkaia	82 años	2024	2.966,303223
Hombres	48 Bizkaia	82 años	2023	3.305,934818
Hombres	48 Bizkaia	82 años	2022	2.399,796607
Hombres	48 Bizkaia	83 años	2037	4.027,433655
Hombres	48 Bizkaia	83 años	2036	4.024,560666
Hombres	48 Bizkaia	83 años	2035	3.708,016228
Hombres	48 Bizkaia	83 años	2034	3.775,402030
Hombres	48 Bizkaia	83 años	2033	3.927,203346
Hombres	48 Bizkaia	83 años	2032	3.980,046784
Hombres	48 Bizkaia	83 años	2031	3.652,556045
Hombres	48 Bizkaia	83 años	2030	3.605,451434
Hombres	48 Bizkaia	83 años	2029	3.489,569488
Hombres	48 Bizkaia	83 años	2028	3.483,119676
Hombres	48 Bizkaia	83 años	2027	3.356,938807
Hombres	48 Bizkaia	83 años	2026	2.933,816345
Hombres	48 Bizkaia	83 años	2025	2.779,506114
Hombres	48 Bizkaia	83 años	2024	3.095,424325
Hombres	48 Bizkaia	83 años	2023	2.238,820224
Hombres	48 Bizkaia	83 años	2022	2.457,025064
Hombres	48 Bizkaia	84 años	2037	3.773,998864
Hombres	48 Bizkaia	84 años	2036	3.475,183781
Hombres	48 Bizkaia	84 años	2035	3.535,002853
Hombres	48 Bizkaia	84 años	2034	3.674,796983
Hombres	48 Bizkaia	84 años	2033	3.722,250774
Hombres	48 Bizkaia	84 años	2032	3.413,306279
Hombres	48 Bizkaia	84 años	2031	3.366,334493
Hombres	48 Bizkaia	84 años	2030	3.256,810613
Hombres	48 Bizkaia	84 años	2029	3.247,442081
Hombres	48 Bizkaia	84 años	2028	3.127,912896
Hombres	48 Bizkaia	84 años	2027	2.731,210702
Hombres	48 Bizkaia	84 años	2026	2.584,727010
Hombres	48 Bizkaia	84 años	2025	2.876,247675
Hombres	48 Bizkaia	84 años	2024	2.078,838317
Hombres	48 Bizkaia	84 años	2023	2.271,627459
Hombres	48 Bizkaia	84 años	2022	2.583,004892
Hombres	48 Bizkaia	85 años	2037	3.232,097179
Hombres	48 Bizkaia	85 años	2036	3.284,434136
Hombres	48 Bizkaia	85 años	2035	3.411,976435
Hombres	48 Bizkaia	85 años	2034	3.454,024576
Hombres	48 Bizkaia	85 años	2033	3.164,697163
Hombres	48 Bizkaia	85 años	2032	3.118,215447
Hombres	48 Bizkaia	85 años	2031	3.015,417692
Hombres	48 Bizkaia	85 años	2030	3.003,433400
Hombres	48 Bizkaia	85 años	2029	2.890,981953
Hombres	48 Bizkaia	85 años	2028	2.521,850062
Hombres	48 Bizkaia	85 años	2027	2.383,815199
Hombres	48 Bizkaia	85 años	2026	2.650,503045
Hombres	48 Bizkaia	85 años	2025	1.914,167449
Hombres	48 Bizkaia	85 años	2024	2.089,399514
Hombres	48 Bizkaia	85 años	2023	2.366,039998
Hombres	48 Bizkaia	85 años	2022	2.600,774633
Hombres	48 Bizkaia	86 años	2037	3.024,536280
Hombres	48 Bizkaia	86 años	2036	3.139,599866
Hombres	48 Bizkaia	86 años	2035	3.176,212688
Hombres	48 Bizkaia	86 años	2034	2.907,482003
Hombres	48 Bizkaia	86 años	2033	2.861,828757
Hombres	48 Bizkaia	86 años	2032	2.766,053897
Hombres	48 Bizkaia	86 años	2031	2.751,746730
Hombres	48 Bizkaia	86 años	2030	2.646,739944
Hombres	48 Bizkaia	86 años	2029	2.306,249772
Hombres	48 Bizkaia	86 años	2028	2.177,247718
Hombres	48 Bizkaia	86 años	2027	2.418,675124
Hombres	48 Bizkaia	86 años	2026	1.745,140001
Hombres	48 Bizkaia	86 años	2025	1.902,571231
Hombres	48 Bizkaia	86 años	2024	2.151,093147
Hombres	48 Bizkaia	86 años	2023	2.356,014299
Hombres	48 Bizkaia	86 años	2022	2.468,809402
Hombres	48 Bizkaia	87 años	2037	2.860,070552
Hombres	48 Bizkaia	87 años	2036	2.891,286938
Hombres	48 Bizkaia	87 años	2035	2.643,976004
Hombres	48 Bizkaia	87 años	2034	2.599,511790
Hombres	48 Bizkaia	87 años	2033	2.510,999564
Hombres	48 Bizkaia	87 años	2032	2.494,713731
Hombres	48 Bizkaia	87 años	2031	2.397,471965
Hombres	48 Bizkaia	87 años	2030	2.086,464814
Hombres	48 Bizkaia	87 años	2029	1.967,012923
Hombres	48 Bizkaia	87 años	2028	2.182,985745
Hombres	48 Bizkaia	87 años	2027	1.573,414032
Hombres	48 Bizkaia	87 años	2026	1.712,994972
Hombres	48 Bizkaia	87 años	2025	1.933,445085
Hombres	48 Bizkaia	87 años	2024	2.115,552976
Hombres	48 Bizkaia	87 años	2023	2.206,007182
Hombres	48 Bizkaia	87 años	2022	2.273,766574
Hombres	48 Bizkaia	88 años	2037	2.604,876225
Hombres	48 Bizkaia	88 años	2036	2.379,536558
Hombres	48 Bizkaia	88 años	2035	2.336,757378
Hombres	48 Bizkaia	88 años	2034	2.255,745262
Hombres	48 Bizkaia	88 años	2033	2.238,033539
Hombres	48 Bizkaia	88 años	2032	2.148,870636
Hombres	48 Bizkaia	88 años	2031	1.867,684208
Hombres	48 Bizkaia	88 años	2030	1.758,215858
Hombres	48 Bizkaia	88 años	2029	1.949,292006
Hombres	48 Bizkaia	88 años	2028	1.403,407777
Hombres	48 Bizkaia	88 años	2027	1.525,707106
Hombres	48 Bizkaia	88 años	2026	1.719,019955
Hombres	48 Bizkaia	88 años	2025	1.878,924180
Hombres	48 Bizkaia	88 años	2024	1.955,670485
Hombres	48 Bizkaia	88 años	2023	2.002,135809
Hombres	48 Bizkaia	88 años	2022	1.945,043178
Hombres	48 Bizkaia	89 años	2037	2.114,334232
Hombres	48 Bizkaia	89 años	2036	2.073,582482
Hombres	48 Bizkaia	89 años	2035	2.000,148684
Hombres	48 Bizkaia	89 años	2034	1.981,416673
Hombres	48 Bizkaia	89 años	2033	1.900,494962
Hombres	48 Bizkaia	89 años	2032	1.649,387541
Hombres	48 Bizkaia	89 años	2031	1.550,215341
Hombres	48 Bizkaia	89 años	2030	1.716,688298
Hombres	48 Bizkaia	89 años	2029	1.234,348619
Hombres	48 Bizkaia	89 años	2028	1.339,720499
Hombres	48 Bizkaia	89 años	2027	1.506,509953
Hombres	48 Bizkaia	89 años	2026	1.644,505555
Hombres	48 Bizkaia	89 años	2025	1.708,165037
Hombres	48 Bizkaia	89 años	2024	1.745,113006
Hombres	48 Bizkaia	89 años	2023	1.686,469744
Hombres	48 Bizkaia	89 años	2022	1.665,128396
Hombres	48 Bizkaia	90 años	2037	1.816,064438
Hombres	48 Bizkaia	90 años	2036	1.750,254233
Hombres	48 Bizkaia	90 años	2035	1.731,063180
Hombres	48 Bizkaia	90 años	2034	1.658,489887
Hombres	48 Bizkaia	90 años	2033	1.437,107372
Hombres	48 Bizkaia	90 años	2032	1.348,395686
Hombres	48 Bizkaia	90 años	2031	1.491,323482
Hombres	48 Bizkaia	90 años	2030	1.070,816457
Hombres	48 Bizkaia	90 años	2029	1.160,197282
Hombres	48 Bizkaia	90 años	2028	1.301,925726
Hombres	48 Bizkaia	90 años	2027	1.419,126560
Hombres	48 Bizkaia	90 años	2026	1.470,849423
Hombres	48 Bizkaia	90 años	2025	1.499,351109
Hombres	48 Bizkaia	90 años	2024	1.446,763461
Hombres	48 Bizkaia	90 años	2023	1.419,047923
Hombres	48 Bizkaia	90 años	2022	1.305,066076
Hombres	48 Bizkaia	91 años	2037	1.509,525300
Hombres	48 Bizkaia	91 años	2036	1.490,419631
Hombres	48 Bizkaia	91 años	2035	1.426,181082
Hombres	48 Bizkaia	91 años	2034	1.233,748847
Hombres	48 Bizkaia	91 años	2033	1.155,495963
Hombres	48 Bizkaia	91 años	2032	1.276,234739
Hombres	48 Bizkaia	91 años	2031	915,011297
Hombres	48 Bizkaia	91 años	2030	989,531948
Hombres	48 Bizkaia	91 años	2029	1.107,955295
Hombres	48 Bizkaia	91 años	2028	1.205,757309
Hombres	48 Bizkaia	91 años	2027	1.246,806879
Hombres	48 Bizkaia	91 años	2026	1.267,983878
Hombres	48 Bizkaia	91 años	2025	1.221,472069
Hombres	48 Bizkaia	91 años	2024	1.195,351099
Hombres	48 Bizkaia	91 años	2023	1.091,354742
Hombres	48 Bizkaia	91 años	2022	1.073,231340
Hombres	48 Bizkaia	92 años	2037	1.263,588711
Hombres	48 Bizkaia	92 años	2036	1.207,545364
Hombres	48 Bizkaia	92 años	2035	1.042,791883
Hombres	48 Bizkaia	92 años	2034	974,809596
Hombres	48 Bizkaia	92 años	2033	1.075,105305
Hombres	48 Bizkaia	92 años	2032	769,605887
Hombres	48 Bizkaia	92 años	2031	830,647370
Hombres	48 Bizkaia	92 años	2030	927,900682
Hombres	48 Bizkaia	92 años	2029	1.008,056945
